CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
alert,2020-12-23,2020.6006,Switzerland,"pyrrolizidine alkaloids (5522 µg/kg - ppb) in ground cumin from Turkey, via Germany",herbs and spices,food,serious,withdrawal from the market,distribution to other member countries,ground cumin,pyrrolizidine alkaloids,natural toxins (other),Turkey
information for follow-up,2020-12-23,2020.5985,Germany,unauthorised novel food ingredient alder buckthorn in tea from Turkey,"cocoa and cocoa preparations, coffee and tea",food,undecided,withdrawal from the market,distribution to other member countries,tea,unauthorised novel food ingredient alder buckthorn,novel food,Turkey
information for attention,2020-12-23,2020.5969,Italy,unauthorised substance ethylene oxide (1.1 mg/kg - ppm) in black sesame seeds from India,"nuts, nut products and seeds",food,serious,recall from consumers,distribution to other member countries,black sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-23,2020.5996,Netherlands,unauthorised substance ethylene oxide (2.6 mg/kg - ppm) in hulled sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-23,2020.6007,Switzerland,"pyrrolizidine alkaloids (20377; 5786 µg/kg - ppb) in ground cumin from Turkey, produced in the United Kingdom, packaged in France",herbs and spices,food,serious,recall from consumers,distribution to other member countries,ground cumin,pyrrolizidine alkaloids,natural toxins (other),"France,Turkey,United Kingdom"
alert,2020-12-23,2020.6010,Denmark,aflatoxins (B1 = 31; Tot. = 34 µg/kg - ppb) in organic almonds from Italy,"nuts, nut products and seeds",food,serious,withdrawal from the market,no distribution from notifying country,organic almonds,aflatoxins,mycotoxins,Italy
information for attention,2020-12-23,2020.6001,Netherlands,Salmonella enterica ser. Enteritidis (presence /25g) in chilled chicken fillets from the Netherlands,poultry meat and poultry meat products,food,serious,withdrawal from recipient(s),product (presumably) no longer on the market,chilled chicken fillets,salmonella enterica ser. enteritidis,pathogenic micro-organisms,Netherlands
information for follow-up,2020-12-23,2020.5932,Germany,unauthorised substance chlorate (1.5 mg/kg - ppm) in frozen crayfish in white wine brine from Spain,crustaceans and products thereof,food,not serious,recall from consumers,distribution to other member countries,frozen crayfish in white wine brine,unauthorised substance chlorate,pesticide residues,Spain
alert,2020-12-23,2020.5988,Netherlands,glass particles in seasoned tomato puree in glass jar from the Netherlands,"soups, broths, sauces and condiments",food,serious,public warning - press release,distribution to other member countries,seasoned tomato puree in glass jar,glass particles,foreign bodies,Netherlands
alert,2020-12-23,2020.5993,Germany,Salmonella (presence /25g) in dog chews from Germany,feed materials,feed,serious,recall from consumers,distribution to other member countries,dog chews,salmonella,pathogenic micro-organisms,Germany
information for follow-up,2020-12-23,2020.6000,Belgium,Salmonella enterica ser. Agona (present /25g) in rapeseed cake from Belgium,feed materials,feed,not serious,informing recipient(s),distribution to other member countries,rapeseed cake,salmonella enterica ser. agona,pathogenic micro-organisms,Belgium
alert,2020-12-23,2020.5980,Netherlands,unauthorised substance ethylene oxide (0.061 mg/kg - ppm) in hulled sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
information for attention,2020-12-23,2020.5997,United Kingdom,"2,4-dinitrophenol (DNP) offered online for sale","dietetic foods, food supplements, fortified foods",food,serious,informing authorities,product traded online,dnp,"2,4-dinitrophenol (dnp)",composition,United States
alert,2020-12-23,2020.5977,Germany,"withdrawal from the market of whole grain crispbreads from Germany, with sesame seeds from India, via the Netherlands possibly contaminated with unauthorised substance ethylene oxide",cereals and bakery products,food,undecided,recall from consumers,distribution to other member countries,whole grain crispbreads,unauthorised substance ethylene oxide,pesticide residues,"Germany,India"
border rejection,2020-12-23,2020.5978,Slovenia,unauthorised substance chlorpyrifos-methyl (0.079 mg/kg - ppm) in lemons from Turkey,fruits and vegetables,food,undecided,import not authorised,product not (yet) placed on the market,lemons,unauthorised substance chlorpyrifos-methyl,pesticide residues,Turkey
border rejection,2020-12-23,2020.5981,Bulgaria,aflatoxins (B1 = 4.7; Tot. = 5.5 µg/kg - ppb) in groundnuts from the United States,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,groundnuts,aflatoxins,mycotoxins,United States
border rejection,2020-12-23,2020.4638,Latvia,improper import declaration for frozen blueberries (Vaccinium myrtillus) from Belarus,fruits and vegetables,food,not serious,re-dispatch,product not (yet) placed on the market,frozen blueberries (vaccinium myrtillus),improper import declaration,adulteration / fraud,Belarus
border rejection,2020-12-23,2020.5990,Germany,aflatoxins (B1 = 51.7; Tot. = 55.2 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious,official detention,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
alert,2020-12-23,2020.5987,Belgium,unauthorised substance ethylene oxide (0.17; 0.98; 2.6 mg/kg - ppm) in organic sesame seeds used in organic baguettes from France,cereals and bakery products,food,serious,public warning - press release,no distribution from notifying country,organic sesame seeds used in organic baguettes,unauthorised substance ethylene oxide,pesticide residues,France
border rejection,2020-12-23,2020.5982,Germany,aflatoxins (B1 = 48.3; Tot. = 51 µg/kg - ppb) in roasted and salted pistachios in shell from Turkey,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,roasted and salted pistachios in shell,aflatoxins,mycotoxins,Turkey
border rejection,2020-12-23,2020.5989,Slovenia,unauthorised substance chlorpyrifos (0.028 mg/kg - ppm) in lemons from Turkey,fruits and vegetables,food,undecided,import not authorised,product not (yet) placed on the market,lemons,unauthorised substance chlorpyrifos,pesticide residues,Turkey
alert,2020-12-23,2020.6002,Netherlands,unauthorised substance ethylene oxide ( 7.2 mg/kg - ppm) in tahini made of sesame seeds from India,"nuts, nut products and seeds",food,serious,informing consignor,distribution to other member countries,tahini made of sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
border rejection,2020-12-23,2020.5972,Spain,lambda-cyhalothrin (0.08 mg/kg - ppm) and unauthorised substances chlorpyrifos (0.03 mg/kg - ppm) and tolfenpyrad (0.09 mg/kg - ppm) in green tea from China,"cocoa and cocoa preparations, coffee and tea",food,undecided,official detention,product not (yet) placed on the market,green tea,"lambda-cyhalothrin,unauthorised substance chlorpyrifos,unauthorised substance tolfenpyrad","pesticide residues,pesticide residues,pesticide residues",China
border rejection,2020-12-23,2020.5899,Bulgaria,unauthorised substance chlorpyrifos-methyl (0.726 mg/kg - ppm) in fresh peppers from Turkey,fruits and vegetables,food,undecided,destruction,product not (yet) placed on the market,fresh peppers,unauthorised substance chlorpyrifos-methyl,pesticide residues,Turkey
alert,2020-12-23,2020.5994,Germany,unauthorised substance ethylene oxide (11.1 mg/kg - ppm) in white sesame seeds from the United Kingdom,"nuts, nut products and seeds",food,serious, ,distribution to other member countries,white sesame seeds,unauthorised substance ethylene oxide,pesticide residues,United Kingdom
alert,2020-12-23,2020.5998,Netherlands,unauthorised substance ethylene oxide (0.97; 2.3 mg/kg - ppm) in organic roasted sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,organic roasted sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-23,2020.6015,Germany,"unauthorised substance ethylene oxide in organic hulled sesame seeds from Bolivia, with raw material from India","nuts, nut products and seeds",food,serious,recall from consumers,distribution to other member countries,organic hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,"Bolivia,India"
information for attention,2020-12-22,2020.5958,Germany,ochratoxin A (28.8 mg/kg - ppm) in dried figs from Turkey,fruits and vegetables,food,serious,recall from consumers,distribution restricted to notifying country,dried figs,ochratoxin a,mycotoxins,Turkey
alert,2020-12-22,2020.5910,Romania,Salmonella (presence /25g) in frozen chicken doner from Romania,poultry meat and poultry meat products,food,serious,withdrawal from the market,distribution to other member countries,frozen chicken doner,salmonella,pathogenic micro-organisms,Romania
information for attention,2020-12-22,2020.5960,Poland,unauthorised substance chlorpyrifos-methyl (0.10 mg/kg - ppm) in grapefruits from Turkey,fruits and vegetables,food,undecided, ,product (presumably) no longer on the market,grapefruits,unauthorised substance chlorpyrifos-methyl,pesticide residues,Turkey
alert,2020-12-22,2020.5967,Belgium,"withdrawal from the market of grilled rusks with cereals and seeds from France, possibly contaminated with unauthorised substance ethylene oxide",cereals and bakery products,food,serious,withdrawal from the market,distribution to other member countries,grilled rusks with cereals and seeds,unauthorised substance ethylene oxide,pesticide residues,France
alert,2020-12-22,2020.5962,Switzerland,"Listeria monocytogenes (<10 CFU/g) in chilled smoked salmon from the United Kingdom, via Germany",fish and fish products,food,undecided,destruction,no distribution from notifying country,chilled smoked salmon,listeria monocytogenes,microbial contaminants (other),United Kingdom
alert,2020-12-22,2020.5968,Luxembourg,"unauthorised colour rhodamine B (> 2000 µg/kg - ppb) in pickled turnips from Lebanon, via Germany",fruits and vegetables,food,serious,recall from consumers,no distribution from notifying country,pickled turnips,unauthorised colour rhodamine b,composition,Lebanon
information for follow-up,2020-12-22,2020.5947,Belgium,"withdrawal from the market of raspberry cookies with sesame seeds from France, possibly contaminated by unauthorised substance ethylene oxide",cereals and bakery products,food,undecided,withdrawal from the market,no distribution from notifying country,raspberry cookies with sesame seeds,unauthorised substance ethylene oxide,pesticide residues,France
alert,2020-12-22,2020.5935,Luxembourg,"withdrawal from the market of organic grain mix from France, packaged in Luxembourg, possibly contaminated by unauthorised substance ethylene oxide",cereals and bakery products,food,serious,recall from consumers,distribution to other member countries,organic grain mix,unauthorised substance ethylene oxide,pesticide residues,"France,Luxembourg"
border rejection,2020-12-22,2020.5902,Bulgaria,unauthorised substances chlorpyrifos (0.047 mg/kg - ppm) and chlorpyrifos-methyl (0.098 mg/kg - ppm) in fresh lemons from Turkey,fruits and vegetables,food,undecided,re-dispatch,product not (yet) placed on the market,fresh lemons,"unauthorised substance chlorpyrifos,unauthorised substance chlorpyrifos-methyl","pesticide residues,pesticide residues",Turkey
border rejection,2020-12-22,2020.5948,Portugal,aflatoxins (B1 = 175; Tot. = 190 µg/kg - ppb) in groundnut kernels from Angola,"nuts, nut products and seeds",food,serious,destruction,product not (yet) placed on the market,groundnut kernels,aflatoxins,mycotoxins,Angola
alert,2020-12-22,2020.5957,Sweden,unauthorised substance ethylene oxide in sesame seeds from India used in nuts and seeds bread mix from Denmark,"nuts, nut products and seeds",food,serious,recall from consumers,no distribution from notifying country,sesame seeds used in nuts and seeds bread mix,unauthorised substance ethylene oxide,pesticide residues,"Denmark,India"
border rejection,2020-12-22,2020.5923,Spain,"attempt to illegally import children's tableware made from a mix of bamboo fibers, melamine and maize fibers from China",food contact materials,fcm,not serious,official detention,product not (yet) placed on the market,children's tableware,attempt to illegally import,adulteration / fraud,China
border rejection,2020-12-22,2020.5956,Bulgaria,"aflatoxins (B1 = 38.8; Tot. = 44 µg/kg - ppb) in pistachio kernels from the United States, dispatched from Turkey","nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,pistachio kernels,aflatoxins,mycotoxins,"Turkey,United States"
information for attention,2020-12-22,2020.5961,Finland,foodborne outbreak suspected to be caused by Salmonella enterica ser. Kedougou in courgettes from the Netherlands and Spain,fruits and vegetables,food,serious,informing recipient(s),product (presumably) no longer on the market,courgettes,"salmonella enterica ser. kedougou,foodborne outbreak suspected","pathogenic micro-organisms,pathogenic micro-organisms","Netherlands,Spain"
border rejection,2020-12-22,2020.5933,United Kingdom,"too high content of colour E 102 - tartrazine (278 mg/kg - ppm), of colour E 110 - Sunset Yellow FCF (118 mg/kg - ppm), of colour E 129 - Allura Red AC (78 mg/kg - ppm) and of colour E 133 - Brilliant Blue FCF (67 mg/kg - ppm) in breakfast cereals from the United States",cereals and bakery products,food,undecided,re-dispatch,product not (yet) placed on the market,breakfast cereals,"too high content of colour e 102 - tartrazine,too high content of colour e 110 - sunset yellow fcf,too high content of colour e 129 - allura red ac,too high content of colour e 133 - brilliant blue fcf","food additives and flavourings,food additives and flavourings,food additives and flavourings,food additives and flavourings",United States
alert,2020-12-22,2020.5966,Germany,plastic fragment in frozen organic salmon puffs from Germany,prepared dishes and snacks,food,serious,withdrawal from the market,distribution to other member countries,frozen organic salmon puffs,plastic fragments,foreign bodies,Germany
information for attention,2020-12-22,2020.5938,Poland,Salmonella (presence /25g) in chicken quarters from Poland,poultry meat and poultry meat products,food,not serious,informing recipient(s),product (presumably) no longer on the market,chicken quarters,salmonella,pathogenic micro-organisms,Poland
alert,2020-12-22,2020.5940,Netherlands,unauthorised substance ethylene oxide (1.1 mg/kg - ppm) in roasted sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,roasted sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-22,2020.5964,Germany,"unauthorised substance ethylene oxide (0.15; 0.53 mg/kg - ppm) in organic chilli-flavoured and ginger-flavoured chickpea spreads from Germany, with sesame seeds from India, via the Netherlands",other food product / mixed,food,serious,recall from consumers,distribution to other member countries,organic chilli-flavoured and ginger-flavoured chickpea spreads,unauthorised substance ethylene oxide,pesticide residues,"Germany,India"
alert,2020-12-22,2020.5943,Netherlands,unauthorised substance ethylene oxide (>5 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
information for follow-up,2020-12-22,2020.5965,Sweden,high content of vitamin D in dried dog food from Germany,pet food,feed,undecided,informing authorities,distribution to other member countries,dried dog food,high content of vitamin d,composition,Germany
alert,2020-12-22,2020.5944,Netherlands,unauthorised substance ethylene oxide (2 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-22,2020.5954,Germany,unauthorised substance ethylene oxide (0.086 mg/kg - ppm) in gluten-free dark bread baking mix from the Netherlands,cereals and bakery products,food,serious,recall from consumers,distribution to other member countries,gluten-free dark bread baking mix,unauthorised substance ethylene oxide,pesticide residues,Netherlands
