PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
"dietetic foods, food supplements, fortified foods",germany,sweden,composition,unauthorised substance huperzine a,undecided
fruits and vegetables,germany,morocco,pesticide residues,unauthorised substance methiocarb,serious
milk and milk products,france,france,industrial contaminants,hydrogen peroxide,serious
food contact materials,belgium,china,industrial contaminants,migration of melamine,undecided
herbs and spices,germany,brazil,pathogenic micro-organisms,salmonella enterica ser. minnesota,serious
"nuts, nut products and seeds",netherlands,germany,pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,united kingdom,united states,"food additives and flavourings,food additives and flavourings,food additives and flavourings,food additives and flavourings","too high content of colour e 102 - tartrazine,too high content of colour e 110 - sunset yellow fcf,too high content of colour e 129 - allura red ac,too high content of colour e 133 - brilliant blue fcf",serious
"nuts, nut products and seeds",poland,georgia,mycotoxins,aflatoxins,serious
herbs and spices,germany,brazil,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. miami,salmonella enterica ser. oranienburg",serious
eggs and egg products,belgium,netherlands,pathogenic micro-organisms,salmonella,serious
"nuts, nut products and seeds",bulgaria,georgia,mycotoxins,aflatoxins,serious
fruits and vegetables,bulgaria,turkey,pesticide residues,pyridaben,serious
"nuts, nut products and seeds",poland,nigeria,mycotoxins,aflatoxins,serious
confectionery,lithuania,russia,composition,too high content of trans fatty acids,not serious
"nuts, nut products and seeds",germany,ethiopia,pathogenic micro-organisms,salmonella enterica ser. pretoria,serious
feed materials,belgium,netherlands,metals,arsenic,undecided
herbs and spices,germany,brazil,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. newport,salmonella enterica ser. rubislaw,salmonella enterica ser. saintpaul",serious
feed materials,italy,italy,tses,presence of ruminant dna,not serious
"dietetic foods, food supplements, fortified foods",germany,austria,composition,silver unauthorised,serious
"nuts, nut products and seeds",poland,"germany,india",pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",netherlands,burkina faso,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",italy,"hong kong,iran",mycotoxins,aflatoxins,serious
poultry meat and poultry meat products,sweden,netherlands,allergens,insufficient allergen information,undecided
cereals and bakery products,netherlands,india,pesticide residues,unauthorised substance ethylene oxide,serious
confectionery,lithuania,poland,composition,too high content of trans fatty acids,not serious
"nuts, nut products and seeds",germany,ethiopia,pathogenic micro-organisms,salmonella,serious
cereals and bakery products,germany,iran,"process contaminants,process contaminants,allergens","3-monochlor-1,2-propanediol (3-mcpd),glycidyl esters,peanut undeclared",serious
feed materials,finland,germany,pathogenic micro-organisms,salmonella enterica ser. tennessee,not serious
"cocoa and cocoa preparations, coffee and tea",france,"china,mali","pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues","acetamiprid,imidacloprid,lambda-cyhalothrin,unauthorised substance diafenthiuron,unauthorised substance dinotefuran,unauthorised substance tolfenpyrad",undecided
crustaceans and products thereof,spain,mauritania,food additives and flavourings,too high content of sulphite,not serious
fruits and vegetables,croatia,turkey,pesticide residues,unauthorised substance chlorpyrifos-methyl,undecided
other food product / mixed,netherlands,netherlands,pesticide residues,unauthorised substance ethylene oxide,serious
fish and fish products,germany,denmark,microbial contaminants (other),listeria monocytogenes,serious
meat and meat products (other than poultry),france,france,pathogenic micro-organisms,salmonella,serious
milk and milk products,netherlands,netherlands,allergens,egg undeclared,serious
crustaceans and products thereof,italy,croatia,food additives and flavourings,too high content of sulphite,not serious
poultry meat and poultry meat products,lithuania,poland,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
cephalopods and products thereof,italy,thailand,metals,cadmium,serious
cereals and bakery products,netherlands,india,mycotoxins,aflatoxins,serious
feed materials,germany,belgium,pathogenic micro-organisms,salmonella enterica ser. senftenberg,not serious
fruits and vegetables,austria,turkey,mycotoxins,ochratoxin a,serious
other food product / mixed,belgium,belgium,pesticide residues,unauthorised substance ethylene oxide,serious
fish and fish products,poland,greenland,metals,cadmium,serious
cereals and bakery products,united kingdom,united states,"food additives and flavourings,food additives and flavourings,food additives and flavourings,food additives and flavourings","unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 133 - brilliant blue fcf,undeclared colour e 129 - allura red ac",undecided
cereals and bakery products,sweden,germany,foreign bodies,metal fragments,undecided
fruits and vegetables,netherlands,netherlands,allergens,celery undeclared,serious
feed materials,finland,estonia,pathogenic micro-organisms,salmonella enterica ser. mbandaka,not serious
"dietetic foods, food supplements, fortified foods",switzerland,"hungary,romania",composition,too high intake of piperine,undecided
feed materials,finland,germany,pathogenic micro-organisms,salmonella enterica ser. livingstone,serious
cereals and bakery products,germany,"india,italy",pesticide residues,unauthorised substance ethylene oxide,undecided
"nuts, nut products and seeds",italy,"bulgaria,netherlands",pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",netherlands,italy,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",france,india,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",lithuania,"nigeria,ukraine",pathogenic micro-organisms,salmonella,serious
"nuts, nut products and seeds",lithuania,"nigeria,ukraine",pathogenic micro-organisms,salmonella enterica ser. gombe,serious
"nuts, nut products and seeds",france,france,pesticide residues,unauthorised substance ethylene oxide,undecided
cereals and bakery products,belgium,"belgium,france",mycotoxins,ochratoxin a,undecided
feed materials,germany,germany,metals,cadmium,undecided
other food product / mixed,germany,denmark,pesticide residues,unauthorised novel food ingredient nicotine,serious
prepared dishes and snacks,netherlands,china,foreign bodies,metal wires,serious
bivalve molluscs and products thereof,spain,portugal,microbial contaminants (other),too high count of escherichia coli,serious
other food product / mixed,germany,india,pesticide residues,unauthorised novel food ingredient nicotine,serious
fish and fish products,spain,morocco,poor or insufficient controls,poor temperature control,not serious
other food product / mixed,france,france,labelling absent/incomplete/incorrect,incorrect labelling,serious
other food product / mixed,germany,sweden,pesticide residues,unauthorised novel food ingredient nicotine,serious
poultry meat and poultry meat products,united kingdom,brazil,pathogenic micro-organisms,salmonella,not serious
"dietetic foods, food supplements, fortified foods",denmark,unknown origin,novel food,unauthorised novel food ingredient cannabidiol (cbd),undecided
"nuts, nut products and seeds",germany,france,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues,pesticide residues,pesticide residues","acetamiprid,formetanate,pyridaben,unauthorised substance chlorpyrifos-methyl",serious
fruits and vegetables,denmark,thailand,pesticide residues,unauthorised substance chlorpyrifos,undecided
"nuts, nut products and seeds",belgium,"turkey,united states",mycotoxins,aflatoxins,serious
meat and meat products (other than poultry),belgium,belgium,microbial contaminants (other),listeria monocytogenes,serious
fish and fish products,france,spain,metals,cadmium,serious
cereals and bakery products,france,france,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues","acetamiprid,formetanate,pirimiphos-methyl,pyridaben,unauthorised substance chlorpyrifos-methyl",serious
"nuts, nut products and seeds",finland,spain,mycotoxins,aflatoxins,serious
fish and fish products,germany,china,labelling absent/incomplete/incorrect,absence of labelling,undecided
herbs and spices,united kingdom,india,mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",malta,india,pesticide residues,unauthorised substance ethylene oxide,serious
herbs and spices,germany,brazil,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. freetown,salmonella enterica ser. infantis,salmonella enterica ser. javiana,salmonella enterica ser. saintpaul",serious
cereals and bakery products,netherlands,netherlands,foreign bodies,plastic particles,serious
milk and milk products,france,france,poor or insufficient controls,inadequate thermal processing,serious
poultry meat and poultry meat products,poland,"poland,slovakia",pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
"nuts, nut products and seeds",czech republic,india,pesticide residues,unauthorised substance ethylene oxide,undecided
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues,pesticide residues","prochloraz,unauthorised substance chlorpyrifos,unauthorised substance chlorpyrifos-methyl",serious
fruits and vegetables,germany,egypt,"pesticide residues,pesticide residues,pesticide residues","thiophanate-methyl,unauthorised substance carbendazim,unauthorised substance chlorpyrifos",undecided
cephalopods and products thereof,switzerland,vietnam,metals,cadmium,serious
